등록구분,진행상태,ECN No.,프로젝트,긴급도,중요도,등록일,요청 파트(부서),완료예정일,조치완료일,대책파트/협력사
C1,완료,CH000000001,P1,상,Medium,2019-12-14,D7,2019-12-15,2019-12-15,D24
C1,완료,CH000000002,P1,상,Medium,2019-04-22,D7,2019-04-26,2019-04-25,D89
C2,완료,CH000000003,P1,상,Medium,2019-03-14,D91,2019-03-14,2019-03-14,D91
C1,완료,CH000000004,P1,상,Medium,2019-03-14,D7,2019-03-16,2019-03-16,D91
C1,완료,CH000000005,P1,상,Medium,2018-11-17,D7,2018-11-18,2018-11-18,D89
C1,완료,CH000000006,P1,상,Medium,2018-11-08,D7,2018-11-10,2018-11-10,D21
C1,완료,CH000000007,P1,상,Medium,2018-07-27,D7,2018-07-28,2018-07-28,D41
C2,완료,CH000000008,P1,상,Medium,2018-07-02,D91,2018-07-02,2018-07-02,D91
C3,완료,CH000000009,P1,상,Low,2018-05-26,D91,2018-06-17,2018-06-16,D89
C2,완료,CH000000010,P1,상,Medium,2018-05-25,D91,2018-05-25,2018-05-25,D91
C2,완료,CH000000011,P1,상,Medium,2018-05-25,D91,2018-05-25,2018-05-25,D91
C2,완료,CH000000012,P1,상,Medium,2018-05-25,D41,2018-05-25,2018-05-25,D41
C3,완료,CH000000013,P1,상,Low,2018-05-24,D21,2018-05-24,2018-05-24,D23
C4,반려,CH000000015,P1,상,Medium,2018-05-22,D102,2018-05-23,2018-05-23,D19
C4,등록취소,CH000000016,P1,상,Medium,2018-05-22,D102,,,D91
C4,등록취소,CH000000017,P1,상,Medium,2018-05-22,D102,,,D91
C2,완료,CH000000018,P1,상,Medium,2018-05-21,D63,2018-05-21,2018-05-21,D63
C5,완료,CH000000019,P1,하,Low,2018-05-21,D91,2018-05-25,2018-05-25,D91
C3,완료,CH000000020,P1,상,Low,2018-05-20,D21,2018-05-21,2018-05-25,D91
C3,완료,CH000000021,P1,상,Low,2018-05-20,D21,2018-05-21,2018-05-21,D19
C3,완료,CH000000022,P1,상,Low,2018-05-20,D21,2018-05-21,2018-05-21,D19
C3,완료,CH000000023,P1,상,Low,2018-05-20,D21,2018-05-26,2018-05-20,D19
C3,완료,CH000000024,P1,상,Low,2018-05-20,D21,2018-05-21,2018-05-21,D91
C3,완료,CH000000025,P1,상,Low,2018-05-20,D21,2018-05-21,2018-05-25,D91
C3,완료,CH000000026,P1,상,Low,2018-05-20,D21,2018-05-25,2018-05-25,D19
C3,완료,CH000000027,P1,상,Low,2018-05-20,D21,2018-05-21,2018-05-21,D91
C3,완료,CH000000028,P1,상,Low,2018-05-20,D21,2018-05-20,2018-05-20,D21
C2,완료,CH000000029,P1,상,Medium,2018-05-20,D24,2018-05-20,2018-05-20,D24
C2,완료,CH000000030,P1,상,Medium,2018-05-20,D21,2018-05-20,2018-05-20,D21
C6,등록취소,CH000000031,P1,상,Medium,2018-05-20,D102,,,D91
C4,완료,CH000000032,P1,상,Medium,2018-05-20,D102,2018-05-20,2018-05-20,D18
C2,완료,CH000000034,P1,상,Medium,2018-05-19,D21,2018-05-19,2018-05-19,D21
C2,완료,CH000000035,P1,상,Medium,2018-05-19,D21,2018-05-19,2018-05-19,D21
C4,등록취소,CH000000036,P1,상,Medium,2018-05-19,D102,,,D91
C4,등록취소,CH000000037,P1,상,Medium,2018-05-19,D102,,,D24
C6,등록취소,CH000000038,P1,상,Medium,2018-05-19,D102,,,D91
C2,완료,CH000000039,P1,상,Medium,2018-05-18,D41,2018-05-18,2018-05-18,D41
C4,완료,CH000000040,P1,상,Medium,2018-05-18,D102,2018-05-19,2018-05-19,D91
C7,등록취소,CH000000041,P1,상,Medium,2018-05-18,D102,,,D41
C7,등록취소,CH000000042,P1,상,Medium,2018-05-18,D102,2018-05-21,,D23
C4,완료,CH000000043,P1,상,Medium,2018-05-18,D102,2018-05-20,2018-05-18,D19
C4,등록취소,CH000000044,P1,상,Medium,2018-05-18,D102,,,D19
C4,등록취소,CH000000045,P1,상,Medium,2018-05-18,D102,,,D41
C4,완료,CH000000046,P1,상,Medium,2018-05-18,D102,2018-05-18,2018-05-18,D23
C5,완료,CH000000047,P1,하,Low,2018-05-18,D24,2018-05-18,2018-05-18,D24
C4,등록취소,CH000000048,P1,상,Medium,2018-05-17,D102,2018-05-18,,D52
C2,완료,CH000000049,P1,상,Medium,2018-05-14,D40,2018-05-14,2018-05-14,D40
C6,완료,CH000000050,P1,상,Medium,2018-05-14,D102,2018-05-18,2018-05-20,D91
C6,완료,CH000000051,P1,상,Medium,2018-05-14,D102,2018-05-18,2018-05-18,D91
C6,반려,CH000000052,P1,상,Medium,2018-05-14,D102,2018-05-19,2018-05-19,D41
C6,등록취소,CH000000053,P1,상,Medium,2018-05-14,D102,2018-05-18,2018-05-18,D41
C6,완료,CH000000054,P1,상,Medium,2018-05-14,D102,2018-05-19,2018-05-20,D91
C6,등록취소,CH000000055,P1,상,Medium,2018-05-14,D102,2018-05-19,,D91
C4,등록취소,CH000000056,P1,상,Medium,2018-05-14,D102,2018-05-14,2018-05-14,D91
C2,완료,CH000000057,P1,상,Medium,2018-05-13,D59,2018-05-13,2018-05-13,D59
C7,완료,CH000000058,P1,상,Medium,2018-05-13,D102,2018-05-14,2018-05-14,D91
C4,등록취소,CH000000059,P1,상,Medium,2018-05-13,D102,2018-05-18,,D40
C4,등록취소,CH000000060,P1,상,Medium,2018-05-13,D102,2018-05-14,2018-05-14,D91
C4,완료,CH000000061,P1,상,Medium,2018-05-13,D102,2018-05-13,2018-05-13,D91
C4,완료,CH000000062,P1,상,Medium,2018-05-13,D102,2018-05-13,2018-05-13,D41
C7,완료,CH000000063,P1,상,Medium,2018-05-13,D102,2018-05-21,2018-05-13,D91
C6,등록취소,CH000000064,P1,상,Medium,2018-05-13,D102,2018-05-13,2018-05-13,D91
C4,등록취소,CH000000065,P1,상,Medium,2018-05-13,D102,2018-05-13,2018-05-13,D91
C4,완료,CH000000066,P1,상,Medium,2018-05-13,D102,2018-05-14,2018-05-13,D23
C4,등록취소,CH000000067,P1,상,Medium,2018-05-12,D102,,,D41
C4,완료,CH000000068,P1,상,Medium,2018-05-12,D102,2018-05-13,2018-05-13,D41
C4,완료,CH000000069,P1,상,Medium,2018-05-12,D102,2018-05-18,2018-05-18,D19
C4,완료,CH000000070,P1,상,Medium,2018-05-12,D102,2018-05-12,2018-05-12,D91
C4,등록취소,CH000000071,P1,상,Medium,2018-05-12,D102,,,D40
C4,완료,CH000000072,P1,상,Medium,2018-05-12,D102,2018-05-12,2018-05-12,D19
C4,완료,CH000000073,P1,상,Medium,2018-05-12,D102,2018-05-13,2018-05-13,D41
