프로젝트,선종,선종.1,업체구분,검사길이,불량길이,검사방법,검사자ID,과,검사실적입력일,NDE업체,용도판정,사유코드,사유코드 설명,직반장사번,직반장성명,직반장 Vendor 코드,용접사사번,용접사성명,용접완료일,용접방법
P31,LNG,B,Vendor,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000002,고*선,V1,W000002,김*철,2023-02-11,FCAW
P31,LNG,B,Vendor,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000002,고*선,V1,W000002,김*철,2023-02-11,FCAW
P31,LNG,B,Vendor,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000002,고*선,V1,W000002,김*철,2023-02-11,FCAW
P31,LNG,B,Vendor,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000002,고*선,V1,W000002,김*철,2023-02-11,FCAW
P31,LNG,B,Vendor,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000002,고*선,V1,W000002,김*철,2023-02-11,FCAW
P31,LNG,B,SHI,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000001,강*우,직영,W000007,원*필,2023-02-10,FCAW
P31,LNG,B,SHI,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000001,강*우,직영,W000007,원*필,2023-02-10,FCAW
P31,LNG,B,SHI,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000001,강*우,직영,W000007,원*필,2023-02-10,FCAW
P31,LNG,B,SHI,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000001,강*우,직영,W000007,원*필,2023-02-10,FCAW
P31,LNG,B,SHI,600.0,해당없음,초음파,ID00000002,D1,2023-03-31,NC1,승인,해당없음,해당없음,A000001,강*우,직영,W000007,원*필,2023-02-10,FCAW
P05,COT,C,Vendor,800.0,해당없음,초음파,ID00000003,D9,2023-03-12,NC1,승인,해당없음,해당없음,A000003,이*철,V2,W000012,김*빈,2023-02-07,FCAW
P05,COT,C,Vendor,800.0,해당없음,초음파,ID00000003,D9,2023-03-12,NC1,승인,해당없음,해당없음,A000003,이*철,V2,W000012,김*빈,2023-02-07,FCAW
P13,COT,C,Vendor,700.0,해당없음,초음파,ID00000004,D32,2023-03-03,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-02-18,FCSA
P13,COT,C,Vendor,700.0,해당없음,초음파,ID00000004,D32,2023-03-03,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-02-18,FCSA
P13,COT,C,Vendor,700.0,해당없음,초음파,ID00000004,D32,2023-03-03,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-02-18,FCSA
P13,COT,C,Vendor,700.0,해당없음,초음파,ID00000004,D32,2023-03-03,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-02-18,FCSA
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000004,D32,2023-03-03,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-02-13,EGW
P13,COT,C,Vendor,10700.0,해당없음,초음파,ID00000004,D32,2023-03-03,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-02-13,EGW
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000004,D32,2023-03-03,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-02-13,EGW
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000004,D32,2023-03-03,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-02-13,EGW
